City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Ushuaia,40,AR,1562988307,39.2,6.93,-54.81,-68.31,80
Rikitea,62,PF,1562988184,74.42,14.14,-23.12,-134.97,78
Hue,20,VN,1562988309,98.6,8.05,16.47,107.58,44
Makat,51,KZ,1562988310,80,16.28,47.65,53.35,57
Pangnirtung,92,CA,1562988311,42.92,1.16,66.15,-65.72,86
Bethel,90,US,1562988133,66.2,11.41,60.79,-161.76,63
Vestmanna,100,FO,1562988313,50,4.7,62.16,-7.17,100
Qaanaaq,100,GL,1562988313,43.64,6.67,77.48,-69.36,64
Yellowknife,75,CA,1562988314,57.2,11.41,62.45,-114.38,47
Hilo,20,US,1562988025,84.2,10.29,19.71,-155.08,54
Castro,75,CL,1562988315,44.6,6.93,-42.48,-73.76,93
El Tigre,100,VE,1562988316,75.14,6.58,8.89,-64.25,87
Mataura,98,NZ,1562988317,53.01,4.83,-46.19,168.86,81
Bredasdorp,1,ZA,1562988318,48.99,1.63,-34.53,20.04,96
Ostrovnoy,100,RU,1562988319,45.08,0.74,68.05,39.51,71
Okhotsk,75,RU,1562988320,67.76,12.55,59.36,143.24,67
Esperance,90,AU,1562988321,57.2,3.36,-33.86,121.89,67
Porto Walter,0,BR,1562988321,72.26,2.19,-8.27,-72.74,86
Puerto Ayora,70,EC,1562988322,70,3,-0.74,-90.35,92
Butaritari,17,KI,1562988322,84.32,12.62,3.07,172.79,79
Tura,100,RU,1562988080,69.74,12.01,64.27,100.22,63
Bluff,37,AU,1562988323,71.54,3.11,-23.58,149.07,35
Busselton,44,AU,1562988324,61,12.88,-33.64,115.35,49
Sao Filipe,0,CV,1562988325,72.26,17.4,14.9,-24.5,85
Portland,75,US,1562987987,69.8,1.95,43.66,-70.25,100
Nikolskoye,0,RU,1562988327,53.6,4.47,59.7,30.79,81
Punta Arenas,90,CL,1562988328,41,11.41,-53.16,-70.91,93
Tasiilaq,6,GL,1562988329,42.8,4.7,65.61,-37.64,87
Cherskiy,13,RU,1562988330,72.44,8.14,68.75,161.3,44
